행정구역,총인구수,2021년01월_세대수,2021년01월_세대당 인구,2021년01월_남자 인구수,2021년01월_여자 인구수,2021년01월_남여 비율,2021년02월_총인구수,2021년02월_세대수,2021년02월_세대당 인구,2021년02월_남자 인구수,2021년02월_여자 인구수,2021년02월_남여 비율,2021년03월_총인구수,2021년03월_세대수,2021년03월_세대당 인구,2021년03월_남자 인구수,2021년03월_여자 인구수,2021년03월_남여 비율,2021년04월_총인구수,2021년04월_세대수,2021년04월_세대당 인구,2021년04월_남자 인구수,2021년04월_여자 인구수,2021년04월_남여 비율,2021년05월_총인구수,2021년05월_세대수,2021년05월_세대당 인구,2021년05월_남자 인구수,2021년05월_여자 인구수,2021년05월_남여 비율,2021년06월_총인구수,2021년06월_세대수,2021년06월_세대당 인구,2021년06월_남자 인구수,2021년06월_여자 인구수,2021년06월_남여 비율,2021년07월_총인구수,2021년07월_세대수,2021년07월_세대당 인구,2021년07월_남자 인구수,2021년07월_여자 인구수,2021년07월_남여 비율,2021년08월_총인구수,2021년08월_세대수,2021년08월_세대당 인구,2021년08월_남자 인구수,2021년08월_여자 인구수,2021년08월_남여 비율,2021년09월_총인구수,2021년09월_세대수,2021년09월_세대당 인구,2021년09월_남자 인구수,2021년09월_여자 인구수,2021년09월_남여 비율,2021년10월_총인구수,2021년10월_세대수,2021년10월_세대당 인구,2021년10월_남자 인구수,2021년10월_여자 인구수,2021년10월_남여 비율,2021년11월_총인구수,2021년11월_세대수,2021년11월_세대당 인구,2021년11월_남자 인구수,2021년11월_여자 인구수,2021년11월_남여 비율,2021년12월_총인구수,2021년12월_세대수,2021년12월_세대당 인구,2021년12월_남자 인구수,2021년12월_여자 인구수,2021년12월_남여 비율
서울,"9,657,969","4,421,022",2.18,"4,695,999","4,961,970",0.95,"9,648,606","4,427,814",2.18,"4,690,282","4,958,324",0.95,"9,598,484","4,400,403",2.18,"4,667,524","4,930,960",0.95,"9,588,711","4,403,263",2.18,"4,661,711","4,927,000",0.95,"9,575,355","23,225,281",2.23,"25,775,853","25,907,172",0.99,"51,672,400","23,256,332",2.22,"25,770,033","25,902,367",0.99,"51,671,569","23,294,707",2.22,"25,768,310","25,903,259",0.99,"51,669,716","23,336,989",2.21,"25,766,031","25,903,685",0.99,"51,667,688","23,383,689",2.21,"25,763,891","25,903,797",0.99,"51,662,290","23,415,533",2.21,"25,760,238","25,902,052",0.99,"51,652,704","23,444,608",2.2,"25,754,446","25,898,258",0.99,"51,638,809","23,472,895",2.2,"25,746,684","25,892,125",0.99
부산,"3,389,388","1,532,700",2.21,"1,659,527","1,729,861",0.96,"3,387,761","1,536,242",2.21,"1,658,540","1,729,221",0.96,"3,372,399","1,527,830",2.21,"1,651,804","1,720,595",0.96,"3,369,704","1,529,794",2.2,"1,650,252","1,719,452",0.96,"3,367,334","4,403,381",2.17,"4,654,720","4,920,635",0.95,"9,565,990","4,405,638",2.17,"4,649,442","4,916,548",0.95,"9,558,153","4,409,964",2.17,"4,645,177","4,912,976",0.95,"9,550,227","4,416,816",2.16,"4,640,740","4,909,487",0.95,"9,542,256","4,421,143",2.16,"4,636,069","4,906,187",0.94,"9,532,428","4,422,587",2.16,"4,630,630","4,901,798",0.94,"9,520,880","4,424,222",2.15,"4,624,290","4,896,590",0.94,"9,509,458","4,426,007",2.15,"4,618,040","4,891,418",0.94
대구,"2,415,813","1,058,117",2.28,"1,191,656","1,224,157",0.97,"2,413,191","1,059,963",2.28,"1,190,244","1,222,947",0.97,"2,408,875","1,060,866",2.27,"1,188,070","1,220,805",0.97,"2,406,296","1,061,829",2.27,"1,186,663","1,219,633",0.97,"2,402,940","1,532,053",2.2,"1,648,965","1,718,369",0.96,"3,364,358","1,533,514",2.19,"1,647,291","1,717,067",0.96,"3,361,781","1,535,294",2.19,"1,645,794","1,715,987",0.96,"3,359,527","1,537,395",2.19,"1,644,378","1,715,149",0.96,"3,358,763","1,540,342",2.18,"1,643,690","1,715,073",0.96,"3,356,311","1,541,975",2.18,"1,642,368","1,713,943",0.96,"3,353,627","1,543,438",2.17,"1,640,867","1,712,760",0.96,"3,350,380","1,544,663",2.17,"1,639,044","1,711,336",0.96
인천,"2,942,452","1,270,669",2.32,"1,473,639","1,468,813",1,"2,941,705","1,273,377",2.31,"1,473,245","1,468,460",1,"2,936,461","1,272,361",2.31,"1,470,750","1,465,711",1,"2,936,214","1,275,194",2.3,"1,470,490","1,465,724",1,"2,936,382","1,061,872",2.26,"1,184,977","1,217,963",0.97,"2,397,646","1,059,826",2.26,"1,182,380","1,215,266",0.97,"2,395,749","1,060,394",2.26,"1,181,351","1,214,398",0.97,"2,393,626","1,061,159",2.26,"1,180,223","1,213,403",0.97,"2,392,787","1,062,536",2.25,"1,179,640","1,213,147",0.97,"2,390,721","1,062,993",2.25,"1,178,486","1,212,235",0.97,"2,388,230","1,063,241",2.25,"1,177,136","1,211,094",0.97,"2,385,412","1,063,893",2.24,"1,175,632","1,209,780",0.97
광주,"1,449,115","634,859",2.28,"716,929","732,186",0.98,"1,447,953","635,999",2.28,"716,331","731,622",0.98,"1,445,473","636,160",2.27,"715,226","730,247",0.98,"1,444,787","637,169",2.27,"714,834","729,953",0.98,"1,443,154","1,277,842",2.3,"1,470,528","1,465,854",1,"2,936,367","1,280,291",2.29,"1,470,544","1,465,823",1,"2,937,440","1,283,524",2.29,"1,470,985","1,466,455",1,"2,938,429","1,286,458",2.28,"1,471,347","1,467,082",1,"2,941,795","1,290,829",2.28,"1,472,963","1,468,832",1,"2,945,009","1,294,158",2.28,"1,474,536","1,470,473",1,"2,946,319","1,296,517",2.27,"1,475,245","1,471,074",1,"2,948,375","1,298,647",2.27,"1,476,373","1,472,002",1
대전,"1,463,291","654,078",2.24,"730,396","732,895",1,"1,462,064","655,842",2.23,"729,663","732,401",1,"1,458,463","655,196",2.23,"728,075","730,388",1,"1,457,619","656,007",2.22,"727,522","730,097",1,"1,457,161","637,364",2.26,"714,101","729,053",0.98,"1,442,647","638,270",2.26,"713,793","728,854",0.98,"1,442,482","639,333",2.26,"713,626","728,856",0.98,"1,441,970","640,836",2.25,"713,286","728,684",0.98,"1,442,827","642,726",2.24,"713,666","729,161",0.98,"1,442,454","643,841",2.24,"713,483","728,971",0.98,"1,442,138","644,972",2.24,"713,292","728,846",0.98,"1,441,611","645,712",2.23,"713,015","728,596",0.98
울산,"1,135,370","478,531",2.37,"583,402","551,968",1.06,"1,132,953","479,441",2.36,"582,190","550,763",1.06,"1,129,254","478,528",2.36,"580,424","548,830",1.06,"1,128,163","478,865",2.36,"579,853","548,310",1.06,"1,127,175","657,087",2.22,"727,279","729,882",1,"1,456,107","657,781",2.21,"726,666","729,441",1,"1,455,300","658,831",2.21,"726,281","729,019",1,"1,454,679","659,978",2.2,"725,956","728,723",1,"1,455,058","661,948",2.2,"726,142","728,916",1,"1,454,228","662,615",2.19,"725,742","728,486",1,"1,453,675","663,621",2.19,"725,406","728,269",1,"1,452,251","664,417",2.19,"724,626","727,625",1
세종시,"357,871","145,403",2.46,"178,656","179,215",1,"359,569","146,323",2.46,"179,528","180,041",1,"360,462","146,763",2.46,"180,030","180,432",1,"361,396","147,292",2.45,"180,462","180,934",1,"362,036","479,362",2.35,"579,316","547,859",1.06,"1,126,369","479,971",2.35,"578,924","547,445",1.06,"1,125,727","480,623",2.34,"578,511","547,216",1.06,"1,124,459","480,951",2.34,"577,806","546,653",1.06,"1,123,236","481,483",2.33,"577,093","546,143",1.06,"1,122,566","481,811",2.33,"576,723","545,843",1.06,"1,122,495","482,287",2.33,"576,636","545,859",1.06,"1,121,592","482,650",2.32,"576,217","545,375",1.06
경기,"13,449,499","5,694,934",2.36,"6,765,862","6,683,637",1.01,"13,471,758","5,717,252",2.36,"6,777,066","6,694,692",1.01,"13,465,837","5,719,333",2.35,"6,776,866","6,688,971",1.01,"13,479,798","5,735,887",2.35,"6,784,466","6,695,332",1.01,"13,488,910","147,848",2.45,"180,778","181,258",1,"362,995","148,604",2.44,"181,328","181,667",1,"364,364","149,580",2.44,"181,996","182,368",1,"365,309","150,077",2.43,"182,430","182,879",1,"366,560","150,841",2.43,"183,044","183,516",1,"368,276","151,639",2.43,"183,879","184,397",1,"369,465","152,301",2.43,"184,441","185,024",1,"371,895","153,649",2.42,"185,678","186,217",1
강원,"1,541,696","736,825",2.09,"775,727","765,969",1.01,"1,540,875","737,787",2.09,"775,186","765,689",1.01,"1,536,399","735,644",2.09,"773,248","763,151",1.01,"1,536,175","736,749",2.09,"773,037","763,138",1.01,"1,535,491","5,749,175",2.35,"6,789,327","6,699,583",1.01,"13,500,688","5,763,227",2.34,"6,795,088","6,705,600",1.01,"13,512,867","5,776,653",2.34,"6,801,008","6,711,859",1.01,"13,530,519","5,793,437",2.34,"6,810,105","6,720,414",1.01,"13,542,284","5,809,524",2.33,"6,816,449","6,725,835",1.01,"13,549,577","5,820,524",2.33,"6,820,025","6,729,552",1.01,"13,557,973","5,831,464",2.32,"6,823,931","6,734,042",1.01,"13,565,450","5,841,995",2.32,"6,827,298","6,738,152",1.01
충북,"1,599,658","746,441",2.14,"811,057","788,601",1.03,"1,599,122","747,979",2.14,"810,751","788,371",1.03,"1,595,714","747,313",2.14,"809,457","786,257",1.03,"1,596,303","748,975",2.13,"809,679","786,624",1.03,"1,596,955","736,980",2.08,"772,893","762,598",1.01,"1,535,530","738,068",2.08,"772,949","762,581",1.01,"1,536,140","739,290",2.08,"773,232","762,908",1.01,"1,536,270","740,341",2.08,"773,260","763,010",1.01,"1,536,765","742,196",2.07,"773,495","763,270",1.01,"1,537,717","743,798",2.07,"774,008","763,709",1.01,"1,538,273","745,060",2.06,"774,232","764,041",1.01,"1,538,492","746,220",2.06,"774,332","764,160",1.01
충남,"2,119,837","984,768",2.15,"1,082,095","1,037,742",1.04,"2,119,542","987,100",2.15,"1,082,026","1,037,516",1.04,"2,115,823","985,844",2.15,"1,080,841","1,034,982",1.04,"2,116,452","987,866",2.14,"1,081,275","1,035,177",1.04,"2,117,260","750,635",2.13,"809,946","787,009",1.03,"1,597,503","752,237",2.12,"810,225","787,278",1.03,"1,597,501","753,893",2.12,"810,258","787,243",1.03,"1,597,179","755,059",2.12,"810,095","787,084",1.03,"1,596,765","756,520",2.11,"809,981","786,784",1.03,"1,596,948","757,980",2.11,"810,093","786,855",1.03,"1,597,019","759,106",2.1,"810,261","786,758",1.03,"1,597,427","760,672",2.1,"810,672","786,755",1.03
전북,"1,802,748","838,242",2.15,"896,115","906,633",0.99,"1,801,319","840,063",2.14,"895,485","905,834",0.99,"1,797,450","839,942",2.14,"893,974","903,476",0.99,"1,796,331","841,378",2.13,"893,415","902,916",0.99,"1,794,682","989,963",2.14,"1,081,854","1,035,406",1.04,"2,117,400","991,636",2.14,"1,082,113","1,035,287",1.05,"2,118,205","993,794",2.13,"1,082,654","1,035,551",1.05,"2,118,183","995,603",2.13,"1,082,664","1,035,519",1.05,"2,118,098","997,516",2.12,"1,082,596","1,035,502",1.05,"2,118,977","999,286",2.12,"1,083,133","1,035,844",1.05,"2,119,529","1,000,660",2.12,"1,083,419","1,036,110",1.05,"2,119,257","1,001,915",2.12,"1,083,366","1,035,891",1.05
전남,"1,850,575","894,611",2.07,"930,132","920,443",1.01,"1,849,795","896,411",2.06,"929,889","919,906",1.01,"1,844,811","895,024",2.06,"927,884","916,927",1.01,"1,844,148","896,392",2.06,"927,667","916,481",1.01,"1,842,423","841,543",2.13,"892,833","901,849",0.99,"1,794,345","842,662",2.13,"892,670","901,675",0.99,"1,793,902","843,708",2.13,"892,487","901,415",0.99,"1,792,476","844,645",2.12,"891,776","900,700",0.99,"1,791,110","846,204",2.12,"891,073","900,037",0.99,"1,789,770","847,406",2.11,"890,378","899,392",0.99,"1,788,616","848,380",2.11,"889,824","898,792",0.99,"1,786,855","849,001",2.1,"888,994","897,861",0.99
경북,"2,637,639","1,256,416",2.1,"1,328,384","1,309,255",1.01,"2,636,747","1,259,684",2.09,"1,328,167","1,308,580",1.01,"2,635,563","1,262,718",2.09,"1,327,990","1,307,573",1.02,"2,635,896","1,265,410",2.08,"1,328,240","1,307,656",1.02,"2,633,592","896,634",2.05,"927,074","915,349",1.01,"1,840,921","897,529",2.05,"926,398","914,523",1.01,"1,839,698","898,434",2.05,"925,751","913,947",1.01,"1,838,353","899,309",2.04,"924,912","913,441",1.01,"1,835,690","900,110",2.04,"923,651","912,039",1.01,"1,834,653","901,203",2.04,"923,037","911,616",1.01,"1,833,864","902,193",2.03,"922,677","911,187",1.01,"1,832,803","903,108",2.03,"922,221","910,582",1.01
